Channel Title,Channel Username,Message ID,Message,Date,Media Path
የጤና ወግ - የጤና መረጃ,@yetenaweg,1184,,2024-10-16 18:43:58+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1183,"🌟በዚህ እሁድ በቴሌግራም ቀጥታ ስርጭት አዲስ ውይይት ይዘን ቀርበናል።

ርዕሱም: 💥የመገጣጠሚያ ህመም💥

☄የመገጣጠሚያ ህመም በርካታ መንስኤዎች ሲኖሩት: አርትራይተስ፣ ጉዳት፣ ሪህ፣ ኢንፌክሽኖች፣ ከእድሜ ጋር የተያያዘ ጉዳት፣ ከመጠን በላይ መወፈር፣ ተደጋጋሚ እንቅስቃሴዎች የተወሰኑት ናቸው።

🗣እንግዳችን:
👉 ዶ/ር ቤኪ አብዲሳ ( ኮንሰልታንት ኢንተርኒስት እና ሩማቶሎጂስት፣ የውስጥ ደዌ ሕክምና ረዳት ፕሮፌሰር፣ የአዲስ አበባ ዩኒቨርስቲ የሩማቶሎጂ ክፍል ኃላፊ)

🗓እሁድ ጥቅምት 10 2017

⏰ከምሽቱ 12 ሰዓት (በኢትዮጵያ)

⚡️ውይይቱን ለመቀላቀል እዚህ ይጫኑ 
👇👇👇👇👇👇👇👇
https://t.me/yetenaweg?livestream

⚡️የውይይት ቻናላችንን ለመቀላቀል እዚህ ይጫኑ: https://t.me/+dl4juoncBxMyODVh",2024-10-16 18:43:57+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1182,,2024-10-16 15:22:55+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1181,,2024-10-06 16:26:40+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1180,ተጀምሯል !!,2024-10-06 15:03:40+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1179,,2024-10-06 14:58:28+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1178,,2024-10-04 13:14:17+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1177,,2024-10-04 13:14:17+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1176,,2024-10-04 13:14:16+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1175,"🤱በድህረ ወሊድ ጊዜ ምን ማወቅ አለብዎት??

🌸ቀደምት የድህረ ወሊድ ጊዜ በሴቶች ህይወት ውስጥ ከወሊድ በኋላ በአካል፣ በስሜታዊ እና በስነ ልቦና ለውጦች የሚታወቅ ወሳኝ ምዕራፍ ነው።

💁‍♀ተከታይ አካላዊ ለውጦችን በጥቂቱ:-
   💫 የማሕፀን መኮማተር 
   💫  ደም መፍሰስ እና ሎቺያ  
    💫የድህረ ወሊድ ህመም እና ምቾት ማጣት

🧑‍🔬የሕክምና እርዳታ መቼ ያስፈልጋል?

🌸የአእምሮ ጤናዎን እንዴት ይንከባከቡ?

🌸አዲስ የተወለደ ልጅን ለመንከባከብ  ጤናማ መመርያዎች ምንድናቸው?

🙎‍♀የድህረ ወሊድ እንክብካቤ እና ምርመራ ምን ይመስላል?

💫እነዚህን እና ሌሎች ጥያቄዎችን መልስ ለማግኘት 👉🏾እዚህ ይጫኑ።

💫የቴሌግራም ቻናላችንን ለመቀላቀል 👉🏾 እዚህ ይጫኑ።",2024-10-04 13:14:16+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1172,,2024-10-03 05:09:38+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1171,"💡በዚህ እሁድ በቴሌግራም ቀጥታ ስርጭት የእንቅልፍ ችግሮች የሚዳስስ ውይይት ይዘን ቀርበናል።

🛌የእንቅልፍ ችግሮች በተለያዩ ምክንያቶች ሊመጡ ይችላሉ ከእነዚህም መካከል: 
👉 ሥር የሰደደ ሕመም
👉 የአእምሮ ጤና ጉዳዮች 
👉 መደበኛ ያልሆነ የእንቅልፍ መርሃ ግብር
👉 አካባቢያዊ ምክንያቶች 
👉 ከእድሜ ጋር የተገናኙ ለውጦች 
👉 መድሃኒቶች እንዲሁም ሌሎችን ያካትታል

🗣እንግዳችን:
👉 ያፌት ከፈለኝ (በአብርሆት የስነዓዕምሮ ህክምና ተቋም የስነ አዕምሮ አማካሪ )

🗓እሁድ መስከረም 26 2017

⏰ከምሽቱ 12 ሰዓት (በኢትዮጵያ)

⚡️ውይይቱን ለመቀላቀል እዚህ ይጫኑ 
👇👇👇👇👇👇👇👇
https://t.me/yetenaweg?livestream

⚡️የውይይት ቻናላችንን ለመቀላቀል እዚህ ይጫኑ: https://t.me/+dl4juoncBxMyODVh",2024-10-03 05:09:38+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1170,,2024-10-02 10:33:05+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1169,"⭐️ቲቢ(ቱበርኩሎሲስ) ምንድን ነው?

💫ሳንባ ነቀርሳ (ቲቢ)በባክቴሪያ የሚከሰት ተላላፊ በሽታ ሲሆን ብዙውን ጊዜ ሳንባን ያጠቃል::

⭐️የቲቢ ምልክቶች  በጥቂቱ የሚከተሉትን ያካትታሉ:
• ረዘም ላለ ጊዜ ሳል (አንዳንድ ጊዜ ደም የቀላቀለ አክታ)
• የደረት ህመም
• ድካም
• ክብደት መቀነስ
• ትኩሳት
• የምሽት ላብ እና
• የምግብ ፍላጎት መቀነስ፡

⭐️ለበሽታው ተጋላጭ የሚያደርጉ ሁኔታዎች ምንድናቸው?

💊ህክምናው ምን ይመስላል?

⭐️የበሽታው መከላከያ መንገዶች ምን ምን ናቸው?

🌟እነዚህን እና ሌሎች ጥያቄዎችን መልስ ለማግኘት 👉🏾እዚህ ይጫኑ።

🌟የቴሌግራም ቻናላችንን ለመቀላቀል 👉🏾 እዚህ ይጫኑ።",2024-10-02 07:04:03+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1168,,2024-09-25 06:38:30+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1167,,2024-09-25 06:38:30+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1166,,2024-09-25 06:38:29+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1165,,2024-09-25 06:38:29+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1164,"💥 ጉርምስና💥

💥ጉርምስና ማለት በአስራዎቹ  የእድሜ ክልል መጀመሪያ ውስጥ የሚገኙ ልጆች የሚያሳዩት አካላዊና ስነ ልቦናዊ ለውጥ ነው ። 
💥ይህ ጊዜ ልጆች ወደ ወጣትነት ለማደግ የሚንደረደሩበት ብዙ የባህሪ ለውጦችን የሚያስተናግዱበት ወቅት ነው። 

👉በጉርምስና ጊዜ የ ሚታዩ ለውጦች ምን ምን ናቸው? 
👉የልጆችና የወላጆች ግንኙነት ምን ይመስላል ? 
👉 ወላጆች ለዚህ ለውጥ ምን አይነት ምላሽ መስጠት አለባቸው?

🔸 ለበለጠ መረጃ: እዚህ ይጫኑ",2024-09-25 06:38:28+00:00,
የጤና ወግ - የጤና መረጃ,@yetenaweg,1163,,2024-09-23 08:09:39+00:00,photos\@yetenaweg_1163.mp4
